Engine Type of Tugboat,Engine Power of Tugboat(kW),Distance(nautical miles),Towing Speed of Tugboats(meters per second),Tow Type of the vehicle being towed ,Tow Size/weight of the vehicle being towed(tonnes),Wind Speed(meters per second),Current Speed of towed vehicle(meters per second),Wave Height(meters per second),Sea State(Significant Wave Height (SWH)),Water Depth(meters per second),Wind Direction,Maintenance History of the tugboat,Fuel Consumption(Litres),"Pilotage Point(latitude, longitude)","Berthing Point(latitude, longitude)","Waypoints which tugboat has to cover in its route (latitude, longitude)",Traffic (number of vehicles in the route)
Diesel-Electric,2000,44,7.177498216,Barge,2505,16.71589411,0.655843928,0.154846622,4.937724316,14.45589513,W,Average,882.119843,"(20.237945767359776, -20.003950160320244)","(-39.6098183707004, 43.77241700328506)","[(-64.87172601376932, -70.23049899798579), (17.175487244726867, 126.19141716066639), (45.4698091644085, 101.59784896667753), (-69.04647125947328, -178.2807600179776)]",15
Diesel,3000,36,3.227772719,Barge,4915,14.60419229,0.250946411,2.646022878,3.122093507,6.647417623,S,Poor,840.0994537,"(-40.566546416041, -54.686837299749925)","(-25.0235408296368, -159.16798541512532)","[(-5.177448357226126, 88.4460332945788), (-82.34232387154704, -124.68590076722226)]",57
Diesel,1000,1,2.999361715,Barge,7380,18.89420446,1.344636894,1.687358956,1.010074325,10.80311755,NE,Poor,740.9993617,"(-75.8573318211383, 75.3966461249581)","(3.888914355469268, -149.78836006511756)","[(42.398381699885306, 59.22181443609995), (16.111727994797178, 50.45776263832778), (-26.749222635306126, 124.12133014215783), (-58.93783942497089, -171.88103734020018)]",16
Diesel,3000,6,5.929836593,Barge,2667,2.895566686,0.053285492,1.453277093,2.320087402,19.94979571,NW,Good,373.4370587,"(-63.783955750418116, -129.95345599412798)","(72.03072421062879, -61.13273807976391)","[(-5.361299539090027, -79.44241399836073), (6.251275321186128, 144.5374004239019), (-84.51802389244652, 29.504097302394626)]",32
Diesel,2000,31,4.119177198,Other,4353,0.311389134,1.718929198,2.591057529,4.7271287,17.39017532,N,Average,690.6889863,"(81.52233698183184, -115.68004986319566)","(-41.411993212236204, -124.33308623860717)","[(71.56196023254103, 5.711752221621708), (-25.018677533221833, 175.45833097708527), (53.58292170616696, -109.11939309578408)]",92
Diesel,2000,33,9.037689243,Barge,1048,11.29287041,0.922805183,1.424449727,0.525440946,11.83290826,SW,Good,701.28749,"(-33.66493458756034, 21.045595159739435)","(-31.446123976240706, -62.19301658469206)",[],92
Diesel,3000,19,2.655872049,Ship,3816,1.664132072,0.93039932,1.591751857,0.518828811,17.06027816,E,Average,532.9847068,"(-56.33524031307126, -179.13789491648438)","(-77.02325176825079, 21.228397392296984)","[(43.721018870661794, 4.361185683387191), (-19.181221194117285, 139.90526795439325), (-18.854905962916035, -172.22071132632954)]",40
Diesel,3000,49,9.273269762,Other,8728,18.49903978,1.416599535,2.229091527,0.176727109,19.77311929,NW,Poor,2235.970655,"(-14.208438163273584, 24.98374363625601)","(68.19255703920058, -171.55325543929982)","[(52.462576883184056, 169.94996710252275), (58.67054500350642, 72.44530019294743), (7.870139415713197, 48.56061583055933), (-42.9890773596792, -81.35544236066754)]",68
Diesel,3000,15,6.28901683,Ship,1885,19.04267667,0.061322513,0.788083331,3.124235399,18.10690011,S,Good,471.5057574,"(57.952751274491305, 134.42514621177753)","(74.73990362701679, 113.82994487358047)","[(-41.89195108271078, -72.78700596982773), (-20.738455880760554, -108.66977145108521), (-38.03256423104394, 97.22910383268805)]",73
Diesel-Electric,2000,24,3.020453017,Barge,3003,13.81901461,0.520731484,2.402489785,4.257008441,15.23779983,NW,Average,445.2817448,"(-57.54843361026083, 29.560899644424723)","(-14.093409722851192, 88.95267360787165)","[(85.11157630053162, -93.27349168667712)]",96
Diesel-Electric,2000,40,6.297755303,Other,6977,12.7379025,0.017530793,0.489350163,3.06829332,6.616854423,NE,Average,1201.520424,"(59.170918241179976, -112.69613272209253)","(17.573009134839225, 69.4418739594951)",[],2
Diesel-Electric,3000,17,5.183342527,Other,6204,0.164685527,0.729711629,0.381042078,1.202949142,15.28721684,SE,Average,884.7504689,"(38.342473442316646, 38.76104825330685)","(58.88369766313059, -38.65663119698337)","[(83.6981979246145, 169.46039926969365), (32.92043812484228, -43.376565650126935), (68.32030093066223, 112.23419047965552)]",64
Diesel,3000,25,9.139857485,Other,2338,5.184217882,1.430780958,2.746621559,1.888203454,17.71957457,S,Poor,919.2893114,"(-85.82760371601935, 110.30177240597283)","(12.633960160216915, -177.86711563709264)","[(58.46253708999623, 139.16266926165395), (41.57783082845879, -91.75395450507939), (51.13646929920856, 100.62424084112138), (-53.47054530496042, 20.15715357705062)]",25
Diesel-Electric,1000,21,5.071760287,Other,5585,18.67673134,0.284336506,0.957845441,0.408843018,10.11285968,W,Average,665.006966,"(37.36947654011507, -147.700807302827)","(-52.471856218612075, 140.0151574971793)","[(-9.954746734329177, -28.628506801096194), (-66.35328533231525, -159.71030600213768), (72.11921541393775, -61.39739820983034), (3.6805534259320893, -139.07151846966383)]",90
Diesel-Electric,2000,32,6.666864504,Barge,6377,18.12687071,0.416519929,0.481810888,0.281560445,19.02687941,SW,Poor,1064.379328,"(83.45128166100014, 165.76434378648145)","(-9.735062192190668, -40.33827580887291)","[(5.640186402985847, 60.95314469944978), (-24.95344664949144, -110.31481822088075)]",80
Diesel-Electric,3000,41,6.957324977,Barge,4628,6.230264411,0.096027588,0.525413032,2.9283515,13.41580514,SE,Good,1318.550972,"(37.24892387082234, -108.70027841353539)","(13.302688449758136, -80.17757025285609)","[(44.81355245690233, 57.78548014740878), (77.97070176959491, 54.87959794447761)]",35
Diesel,3000,39,7.702545234,Barge,1225,16.14073591,0.34721612,0.713561825,3.220890187,10.89413067,SE,Average,1023.697792,"(-61.88462312646001, -105.73232832185433)","(20.960909247177412, 144.38499054907368)","[(-42.286841966374304, -76.93093202861144)]",86
Diesel-Electric,1000,35,6.991858171,Barge,6827,1.220225317,0.335383838,0.090850163,3.848148079,5.26550646,NE,Good,927.415036,"(-73.1771508994517, -63.126373896747765)","(73.8843447655679, 151.20751498508486)",[],18
Diesel,1000,30,2.110354502,Barge,7092,6.665972213,1.122627391,1.297104343,2.18240875,15.89451921,NW,Good,772.5106351,"(4.494055697225534, -114.22148478254095)","(80.99451678011664, 20.665839267211084)","[(-39.7730581435837, -148.9094934545372)]",50
Diesel,3000,7,5.806465437,Other,1855,7.672188433,0.957505326,1.161600346,4.398352062,11.16401073,NW,Average,307.4357742,"(73.06471434438896, -8.093856037161629)","(6.851732773828289, -69.4561883714921)","[(-83.20718431068161, 36.678696432777514), (85.6579448498147, -112.44481815224347), (8.638675740414385, -15.374319067556627)]",15
Diesel,2000,1,5.166648149,Ship,8265,18.92228517,0.57285542,0.042309963,3.720494599,6.858464728,NW,Good,836.8332963,"(84.53991358479061, 88.91104526536498)","(-8.903480915230574, 169.66851184704922)",[],41
Diesel-Electric,2000,5,3.74795731,Barge,2162,14.28051455,1.769714758,2.241932482,4.671977766,8.958447303,N,Good,253.6795731,"(78.81396371421573, 69.08968787341612)","(7.060729034224522, -123.70202509664941)","[(-14.484008416970909, 95.48717808778952)]",66
Diesel-Electric,3000,2,9.929511318,Other,8706,1.845661629,1.94286566,0.736689751,2.149980983,9.156841329,E,Average,930.1770679,"(-48.63183953199435, 14.2591542324638)","(80.19373688573222, -148.45755122336874)","[(-69.11105519396779, 105.9010934448587), (-40.76568738279484, 3.2032724323990465)]",40
Diesel,1000,22,4.785450359,Ship,9259,17.65515869,1.490442925,2.84604413,2.604398109,9.591062496,W,Good,1031.179908,"(-51.25010504790703, 165.34961801665145)","(-71.14867446487789, 103.32300677012972)","[(86.1669929251901, -97.50184042534646)]",33
Diesel-Electric,2000,14,2.266489272,Barge,6435,8.822329798,0.400474504,2.288470259,1.527965043,19.06274981,NW,Good,706.9616996,"(46.68571004470621, -153.3884352496979)","(-80.24103203821448, -153.47080290012488)",[],15
Diesel-Electric,1000,18,3.65753353,Ship,2705,3.651080417,0.337053461,1.434319602,1.97380175,6.003722653,NE,Good,336.3356035,"(38.1988404556447, 22.802166644598515)","(-77.18454151804636, 165.31408772915705)","[(65.72055386196266, -165.5885322175049), (-8.813451373475658, -171.039289122547), (73.65970948090879, 73.62105443273231), (71.8315592597626, 22.592286492019866)]",52
Diesel-Electric,1000,40,9.489077583,Ship,1589,4.21884836,0.050209638,0.868962689,1.89290574,16.53628258,E,Average,538.4631033,"(52.50633899394782, -10.662491240213882)","(52.4372273472473, -70.2859516268298)","[(83.29685485899898, -169.86099625938007), (89.65191575184204, -64.93653142548325), (24.956747469760757, -4.267334671652094), (64.59920374861812, 162.16536314632162)]",46
Diesel,2000,8,8.349786289,Other,2076,1.567815357,1.268851915,2.876855866,4.651115021,17.42463403,S,Good,341.1965806,"(-42.06162297752898, 155.44997821082768)","(8.3057711228563, -23.01513057557861)","[(-37.35579887970872, 52.00600395716748)]",36
Diesel,1000,49,4.241332638,Ship,5962,5.382861016,1.149862523,2.67664514,4.962820931,6.045249841,E,Poor,804.0252992,"(64.15380062979483, -176.25750913737028)","(83.78230588459374, -141.63135848723013)","[(-50.119287558901014, 164.92607983902195), (-32.97236270736788, -159.60204116385881)]",86
Diesel-Electric,2000,49,5.235978308,Ship,1705,11.58103746,0.40463911,1.545406507,1.074460725,16.16358286,SE,Poor,683.6258742,"(-21.121926814331985, -86.6174013850688)","(-18.63789855473503, 152.17295881493487)","[(85.68056853845806, 147.252725563831)]",39
Diesel-Electric,3000,18,9.978289343,Other,7726,15.17411715,0.315394265,1.751286165,1.931016922,13.23897686,SW,Good,1311.427625,"(77.36442088219516, -111.6473396405056)","(67.42377717588164, -25.280825504138676)","[(17.97006963978876, -80.54771200746373)]",55
Diesel-Electric,2000,16,3.538759953,Other,5707,4.876963404,0.721227136,0.319571627,4.072244171,16.58816735,S,Good,683.9403185,"(-37.82169540720553, -137.8920650187925)","(-10.90912440410112, -36.48287675510656)","[(30.710575844837606, 61.72979258386815), (-38.61805690372928, 161.12234082557637), (-48.23106315214304, -174.87123657230396)]",45
Diesel-Electric,3000,30,6.152701589,Other,1630,0.716997658,0.677391361,2.218142518,2.339957651,5.848918783,S,Poor,716.743143,"(-29.01606196966226, 93.62417151043007)","(-3.1777089991351772, 83.44524012943765)","[(73.10595567601462, 43.05899333974679), (-5.79164156367429, -82.4988535849047)]",26
Diesel-Electric,3000,48,4.209818069,Barge,5242,7.379075919,1.326166435,1.714026153,0.83027022,10.23858233,NW,Good,1130.413802,"(79.73660611312889, 24.586340314140415)","(30.51896078950493, -72.43531711365478)",[],32
Diesel-Electric,2000,9,8.584116488,Other,3637,13.33527542,1.19360711,0.453837465,1.598138091,17.73218994,S,Average,518.2140968,"(27.85262985481863, -61.0903423766064)","(77.83673812560875, -117.28996797963745)","[(45.84696798951401, -109.5470971323319)]",33
Diesel-Electric,1000,40,2.772469229,Other,6838,4.600552842,1.211544587,1.025946422,0.561847527,5.579593498,S,Poor,794.6987692,"(-52.51798622431698, 151.89540775596862)","(88.02069415402602, -43.981673347189854)","[(24.30218073913713, 144.3291206109513), (-87.31715682708916, 143.6958310077515), (-15.405189481253473, -21.909261581574924)]",5
Diesel-Electric,3000,12,7.658618493,Barge,2725,5.285870805,0.700348868,2.750079269,0.152108947,5.027576977,E,Average,548.2102658,"(-47.02925269219011, 57.092938258345015)","(-43.97269339213945, 15.197908521280112)","[(53.16724185190631, 134.4938892662069), (51.21955605689985, 57.14622963329202), (17.39503570884301, 106.0692321850886), (-40.867595428990796, -21.838531413319316)]",33
Diesel,2000,4,9.645612642,Ship,1688,11.06251848,1.968483123,1.856838166,1.772279646,8.303111778,SE,Average,245.9649011,"(-69.82621398017916, -92.21820489695591)","(33.58313580755882, 67.67807640659103)","[(-9.869975666873401, -177.43345982384307), (83.38397945065188, 79.24696547119822), (38.995979194698634, 83.92333401153326), (43.944387822810484, -81.05764814275712)]",12
Diesel,2000,25,9.557455274,Barge,4878,19.53391714,0.002145433,2.103094027,3.849311602,6.256049209,E,Poor,965.6727637,"(-3.376139280875492, -16.660992711788055)","(-2.9534861086063557, -35.46984683353321)","[(10.521069978786642, 167.81186030978137), (-0.4442256892592553, 141.58906223489618)]",49
Diesel-Electric,3000,2,2.332627468,Other,8390,6.385539784,0.085509785,1.769526596,1.850814187,19.17017798,SE,Poor,852.9957648,"(-52.75020440763413, -21.943841317553762)","(39.024848386784356, -120.42554041711286)","[(-7.261432361360065, -36.853183647440034)]",41
Diesel-Electric,3000,12,8.968895475,Barge,1320,13.46410206,0.371760388,0.902743865,2.012270008,16.82553321,W,Average,454.8802371,"(8.655089083938336, 66.91442218956973)","(-9.835709460326271, -80.69174350732368)","[(15.70598135875565, 51.97233956937856), (20.368295450546512, -23.986188739785035), (29.381489321592554, 173.10152069933912), (18.59228185182144, -30.477474419490022)]",92
Diesel,2000,4,8.951512982,Barge,6512,12.06813175,0.486850733,0.546328808,2.026959507,9.892615889,SW,Average,722.8121039,"(-49.61772366718089, 91.02979624690357)","(60.80749443782733, 138.43756210124633)",[],43
Diesel,2000,41,4.612897419,Barge,9443,8.02163526,0.11604668,0.781494158,2.547235144,18.35118941,N,Poor,1322.557588,"(-6.1069171091220795, -43.21620359622506)","(-16.952922049992026, 22.873060876483805)",[],76
Diesel,2000,4,8.810642513,Ship,3986,2.215485244,1.775384894,0.72225316,0.377401089,6.4710227,N,Poor,469.0851401,"(-78.06846819082436, 173.4784995397119)","(-44.15047329223915, -46.91378250056232)","[(55.930561150055695, -51.29708278910201)]",57
Diesel-Electric,3000,15,2.907027898,Ship,8092,8.540725313,1.072122888,1.964515185,3.528800716,6.859961651,NW,Good,940.0162554,"(-5.828353632096224, -53.789079622111814)","(46.27813084480891, -175.09367425469247)",[],90
Diesel,1000,2,6.093552229,Other,8701,16.82849198,1.40928418,2.991643861,1.287923514,6.686510143,N,Good,882.2871045,"(-19.34441899758164, -24.04595147276268)","(-2.4314493663516146, -92.59579687281183)","[(-23.13144275099151, -175.04587478710758)]",73
Diesel-Electric,2000,12,5.981347393,Barge,5970,13.33409326,0.379774378,0.068371484,1.829507948,9.340701448,NW,Poor,740.5523374,"(88.65303952992795, -6.987100134883008)","(-64.8663598384564, -69.44097394056979)","[(-9.257594232206529, -93.06024621449309)]",56
Diesel,2000,47,3.877384507,Ship,2886,11.92308479,0.042630221,1.471936842,0.629275286,5.579819361,NE,Good,653.0741436,"(83.35947966050944, -172.0985872128218)","(-78.65694779643518, 38.96291390728473)","[(78.5813949574831, -65.68151976538269)]",52
Diesel-Electric,3000,8,5.05061313,Barge,7124,15.56239781,1.691741823,1.429359381,1.372362207,7.50734537,W,Good,833.6147151,"(-55.412033396516975, 2.9202449484410806)","(-89.99885525249148, 121.57260178380074)","[(-16.446414899030003, 98.70735401111062), (-11.319704484670012, 81.01558226505603)]",14
Diesel-Electric,3000,36,2.032882733,Barge,6734,13.21329366,0.200760737,2.439379912,3.308275737,18.47452325,E,Good,892.9513351,"(27.8090743068186, -172.72347333726003)","(-81.81742135021592, -6.120124121401034)",[],11
Diesel-Electric,2000,41,6.459749403,Barge,3929,16.36106307,1.016115541,2.714184359,4.79687102,19.37191031,SE,Average,922.599451,"(-36.93719906636681, 110.14716464253428)","(42.66526011960724, 159.15954771817957)","[(12.1230894082573, 136.43578823630497)]",23
Diesel-Electric,1000,25,7.941603243,Barge,6248,1.4825129,1.816341244,2.31129133,0.244294547,8.705511859,NW,Average,823.3400811,"(29.43660544600229, -73.50234931790995)","(-49.00948014455384, 118.30955586718954)","[(-64.01266717724944, 171.97790958053145)]",63
Diesel,2000,41,6.755961681,Ship,2493,18.77527776,0.932692982,2.062219466,1.676560354,5.528814775,SE,Poor,803.2888578,"(48.2160296436663, 86.3901922088832)","(1.178606385640407, -176.3879065256006)","[(-88.36348815587564, -66.4807511701362)]",43
Diesel,3000,37,6.824894395,Ship,5304,11.29617978,0.508390326,1.472214718,1.868255595,9.550229371,SE,Good,1287.963278,"(34.85951357519704, -76.44141155765837)","(-28.849078024990774, 71.73533194347806)","[(-21.94995018018747, -129.16140577890624), (46.00421493232068, -105.61945170134786), (26.464142581054446, -130.08735935924707), (-1.3563537735420539, 14.495451679326067)]",17
Diesel-Electric,1000,23,6.081378524,Ship,6290,3.150789762,1.302797695,1.520643979,4.078335265,9.464928634,S,Poor,768.871706,"(63.880157244465494, 113.38305074857203)","(25.723591572807365, 83.68657890351363)","[(-31.880466770912484, -138.80091672367072)]",70
Diesel-Electric,3000,4,9.856417914,Other,9907,17.08740537,0.396172189,1.980059469,4.150170903,6.488420734,E,Poor,1108.977015,"(-79.98639948866341, 17.765289817595345)","(-2.9984232871728267, -98.05556403508493)","[(51.13178286852272, 9.704071538670178), (-37.86962813720857, 165.15021984478784), (-29.97323205459248, 14.009653733973238)]",60
Diesel-Electric,3000,18,3.554755634,Barge,6766,7.929803425,0.733990353,2.322062064,2.358571186,16.98024234,NE,Good,868.5568042,"(17.387638950740254, 161.74231377354374)","(-12.008099471581247, 178.98903625192872)",[],95
Diesel,1000,15,8.651335556,Other,5063,3.070558678,1.62657673,0.792026325,1.398279319,14.89108196,SW,Good,636.0700333,"(-64.85527552280024, -125.66477916136745)","(-4.566837317561777, 24.776413895665343)","[(59.31135736261288, 71.51263870459184), (-57.61682281548305, 2.8998631336518486), (-71.52662438845019, -174.88572682082992), (-73.0037562244497, -146.09638405466205)]",26
Diesel-Electric,1000,1,7.842205055,Ship,1398,9.629536067,1.027434617,1.377612597,1.270156109,13.54663877,W,Good,147.6422051,"(67.78036316389242, -60.420108595503166)","(33.25237191385864, 165.0348633396199)","[(73.71025738689721, 147.7289088377667), (56.896790814765836, 125.39695759957192), (24.95544716559857, 137.03953204991853)]",97
Diesel,3000,14,5.31336799,Barge,2107,12.3263589,1.499336317,2.815079303,2.645301697,13.29458029,E,Poor,433.8614556,"(39.86883958186115, -30.771409769032886)","(-68.30948027120495, 121.35585616264439)",[],87
Diesel-Electric,3000,41,4.806602845,Other,8729,17.7545377,0.319488983,1.417404205,4.804276183,6.319488637,N,Poor,1464.11215,"(50.751025946986374, 36.831030649618555)","(28.806142413447077, 48.08628197222413)","[(-11.541794214967894, 14.836036072981102), (-78.34876078100687, -127.59585171124917), (-7.177156214823555, -50.074259816104586), (-17.665575777608055, -23.442238085048814)]",73
Diesel-Electric,1000,37,7.334440921,Barge,2647,16.47783687,1.904121283,1.042807217,3.132452022,18.85786309,S,Poor,536.0743141,"(-69.67198019569916, 82.99008678387918)","(-39.43090182949854, -144.90913668548265)","[(-83.15619032640807, -4.7852601402200605), (13.920448720365286, 166.3760335997743)]",60
Diesel,2000,18,4.730484114,Other,1818,4.242529209,1.403567151,2.026018012,3.212531399,15.65998636,SE,Good,352.0974281,"(-11.985665513346234, 7.481549306335296)","(42.19482064876698, 83.27800526561464)","[(5.9308203424430985, 158.53841544592353), (-1.4530387234250952, -41.39130319700996)]",47
Diesel,3000,16,6.78783348,Other,5459,11.26685454,1.35174805,0.677611711,3.265803572,8.005118521,S,Good,871.7160071,"(-55.57735516244808, -26.977169875706124)","(64.68754458613188, 123.37360975603377)","[(-85.82816330587669, 64.5956126924788), (-50.200743627670434, -23.286749371751597), (-76.61800071912782, -176.50053257770998)]",82
Diesel,2000,18,9.79235159,Barge,6676,17.81666413,0.916286552,0.334684134,2.851014939,10.52267593,N,Good,1020.124657,"(70.59410681560274, 56.44746499626609)","(63.17475928796421, 147.39663528093752)",[],68
Diesel-Electric,2000,34,4.948971996,Ship,6604,2.329836536,0.046737463,2.878244833,4.238445359,15.22506007,W,Good,996.9300957,"(13.823162533911514, -28.292958571339398)","(52.473438987605846, -19.428648379785045)","[(-25.736761757833293, 154.20613139057525), (31.37505544478263, -128.67189809685792)]",29
Diesel,1000,16,2.421673473,Barge,8950,18.81572462,0.022177852,0.081172254,2.996915656,17.78370002,NE,Average,933.7467756,"(16.554524157810448, 123.44161467940557)","(-45.47200196683631, -41.91543073167662)",[],45
Diesel-Electric,3000,49,6.409124017,Other,8712,11.21684982,0.566403529,0.125510951,2.244979084,10.50316382,S,Good,1813.34123,"(-79.6178043248083, 81.59647507002757)","(-30.712020558625724, -14.380552814034104)","[(59.352786976047696, -111.76815544991695), (-12.900453913849844, 169.5842772227595), (-48.754914548651826, -19.826675343814628)]",81
Diesel-Electric,2000,39,5.666303252,Ship,3795,13.39743527,0.822580112,2.017516688,0.845460836,11.17449274,SE,Good,821.4716537,"(-36.321526079132695, 10.542698194365869)","(-64.2864830103828, 42.439269111964336)","[(71.56133165222914, -146.0910039554427), (-66.830827547801, 130.24997601704933), (-38.794773133030745, -4.709018609068892), (-72.51437239444999, 11.684513494645756)]",93
Diesel-Electric,2000,13,5.086551577,Ship,4255,1.319733912,1.39891287,1.765665875,3.759388107,11.48101106,W,Good,557.750341,"(87.58130703158005, -40.18502392372184)","(-12.09239185966446, -152.33598289770333)",[],36
Diesel-Electric,1000,35,5.626014439,Other,9050,13.54653081,0.031961928,0.534014836,2.735954079,14.89602951,NE,Good,1101.910505,"(42.15921145453325, 150.15501063526165)","(49.96125604290242, 76.19959701720109)","[(-82.36305106030288, 151.80911396330566), (28.953504264189036, -176.77141801358522)]",33
Diesel-Electric,2000,43,6.528517498,Ship,7906,19.58791867,0.158740301,2.424346556,3.852582675,11.0373784,S,Average,1352.052505,"(-57.91381211189222, 0.14507594117921485)","(-48.795281482684885, -174.67221562118283)","[(-85.95722383327731, -7.197733792461349), (-14.538552450494805, 29.66850587843149), (34.66037906604076, 0.00039172460384406804), (0.030703489085667002, 13.653424617294121)]",95
Diesel-Electric,2000,23,8.850912067,Ship,5023,14.97131112,0.66055488,2.368843051,0.536350884,12.80831077,E,Good,909.4419551,"(-44.43181507924874, 35.54621554334295)","(-27.535569471141834, -75.86526562761547)","[(32.34959350750458, 16.17898888514128), (-72.8098074861951, 52.62730806697334), (-41.62763444877744, -150.16036164733669), (66.41642928259938, -125.4855378982265)]",17
